"","Word","Year","WordStart","vowel","coda_cons","foot","pre","pre_amb","br","br_amb","cr","unrel","unrel_amb","aff","aff_amb","sp","sp_amb","sp_full","sp_partial","sp_fp","release"
"1","absolute","1964",155.4702056,"u","t","final",0,0,1,1,0,0,0,0,1,0,0,0,0,0,"normal release"
"2","accept","1988",78.63782901,"ɛ","p","final",0,0,0,0,0,1,1,0,0,0,0,0,0,0,"unreleased"
"3","accept","2005",293.9630446,"ɛ","p","final",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"4","acceptable","2010",33.26029993,"ɛ","p","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"5","accession","1952",159.5976338,"ɛ","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"6","accumulated","1958",323.34,"ei","t","medial",0,0,1,1,0,0,0,0,0,1,1,0,1,0,"spirantised"
"7","accusations","1961",201.8569508,"æ","k","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"8","accusations","1961",201.8569508,"ei","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"9","actions","1975",179.3157573,"æ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"10","actions","2001",132.55,"æ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"11","activity","2010",200.3444303,"æ","k","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"12","acts","1975",195.9486567,"æ","k","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"13","acts","1995",45.93264155,"æ","k","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"14","acts","2001",50.89837981,"æ","k","final",0,0,0,0,0,1,1,0,0,0,0,0,0,0,"unreleased"
"15","acts","2001",164.3157871,"æ","k","final",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"16","acts","2005",71.41015717,"æ","k","final",0,0,0,1,0,1,1,0,0,0,0,0,0,0,"unreleased"
"17","actual","2000",41.9989899,"æ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"18","affect","1972",216.9723971,"ɛ","k","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"19","affected","2001",34.11971302,"ɛ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"20","affected","2005",54.63620503,"ɛ","k","medial",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"21","affection","1952",96.75580689,"ɛ","k","medial",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"22","affection","1952",163.8797402,"ɛ","k","medial",0,0,0,0,1,0,0,0,0,1,1,0,1,0,"spirantised"
"23","affection","1961",107.9444997,"ɛ","k","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"24","affection","1970",171.0410432,"ɛ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"25","affection","1972",5.432429599,"ɛ","k","medial",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"26","affection","2018",226.3939719,"ɛ","k","medial",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"27","affectionate","1952",70.86741945,"ɛ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"28","affectionate","1964",24.77711226,"ɛ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"29","affectionate","1970",73.89,"ɛ","k","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"30","afflicted","2000",259.1020377,"ɪ","k","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"31","Africa","1958",105.6431105,"æ","f","medial",1,1,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"32","Africa","1961",121.0987997,"æ","f","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"33","Africa","1983",231.0867437,"æ","f","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"34","Africa","1994",199.771865,"æ","f","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"35","Africa","1994",233.9028549,"æ","f","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"36","Africa","1995",192.7608372,"æ","f","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"37","afternoon","1958",28.28868334,"ɑ","f","medial",0,1,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"38","airforce","2018",57.75836378,"ɔ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"39","animosity","1988",41.353214,"ɒ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"40","anniversaries","1988",5.427471058,"ɜ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"41","anniversaries","1995",1.99888194,"ɜ","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"42","anniversaries","2002",71.20954194,"ɜ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"43","anniversary","1988",23.36368455,"ɜ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"44","anniversary","1988",70.06987193,"ɜ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"45","anniversary","1988",125.8656493,"ɜ","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"46","anniversary","1988",209.5450963,"ɜ","s","medial",0,0,1,1,1,0,0,0,0,0,0,0,0,0,"normal release"
"47","anniversary","1994",9.092135112,"ɜ","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"48","anniversary","1994",258.5477912,"ɜ","s","medial",0,0,1,1,1,0,0,0,0,0,0,0,0,0,"normal release"
"49","anniversary","2000",56.71,"ɜ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"50","anniversary","2002",77.3492937,"ɜ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"51","anniversary","2002",97.3,"ɜ","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"52","anniversary","2018",59.68613497,"ɜ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"53","anticipated","2010",322.7282427,"ei","t","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"54","anticipated","2010",322.7282427,"ɪ","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"55","apart","1988",9.455608138,"ɑ","t","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"56","appreciating","1995",251.6243315,"ei","t","medial",0,0,0,0,0,0,0,0,0,1,1,1,0,0,"spirantised"
"57","appreciating","1995",251.6243315,"i","ʃ","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"58","April","1988",140.6469839,"ei","p","medial",0,0,0,0,0,0,0,1,1,0,0,0,0,0,"affricated"
"59","April","2018",201.0590339,"ei","p","medial",0,0,0,0,0,0,0,1,1,0,0,0,0,0,"affricated"
"60","arrested","2000",86.50360368,"ɛ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"61","artists","1958",297.3012991,"ɑ","t","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"62","arts","2002",144.72,"ɑ","t","final",0,0,0,0,1,0,0,0,0,1,1,0,1,0,"spirantised"
"63","ask","1952",327.6815547,"ɑ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"64","ask","1972",140.5,"ɑ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"65","ask","1972",215.9730387,"ɑ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"66","aspect","1958",272.4314966,"æ","s","initial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
